iata,land_code,stadt
DSK,PK,Dera Ismail Khan
DSN,CN,Ordos
DSO,KP,Sondok
DTU,CN,Wudalianchi
DUM,ID,Dumai
DVO,PH,Davao
DWC,AE,Dubai
DWD,SA,Dawadmi
DXB,AE,Dubai
DYR,RU,Anadyr
DYU,TJ,Duschanbe
DZN,KZ,Zhezkazgan
EAM,SA,Nejran
EBL,IQ,Erbil
ECN,CY,Ercan
EDO,TR,Edremit
EHU,CN,Ezhou
EIE,RU,Jenissejsk
EJH,SA,Wedjh
ELQ,SA,Gassim
ENH,CN,Enshi
ENY,CN,Yan'an
ERC,TR,Erzincan
ERL,CN,Erenhot
ERZ,TR,Erzurum
ESB,TR,Ankara
ETM,IL,Eilat
EVN,AM,Eriwan
EZS,TR,Elazig
FEG,UZ,Fergana
FJR,AE,Fujairah
FKQ,ID,Fak Fak
FKS,JP,Fukushima
FLZ,ID,Sibolga
FNJ,KP,Pjöngjang
FOC,CN,Fuzhou
FRU,KG,Manas Intl,
FSZ,JP,Shizuoka
FUG,CN,Fuyang
FUJ,JP,Fukue
FUK,JP,Fukuoka
FUO,CN,Foshan
FYJ,CN,Fuyuan
FYN,CN,Fuyun
GAJ,JP,Yamagata
GAN,MV,Insel Gan
GAU,IN,Guwahati
GAY,IN,Gaya
GBB,AZ,Gabala
GCH,IR,Gachsaran
GDB,IN,Gondia
GDX,RU,Magadan
GEC,CY,Gecitkale
GES,PH,General Santos
GIL,PK,Gilgit
GIZ,SA,Gizan
GMP,KR,Seoul
GMQ,CN,Golog
GNS,ID,Gunung Sitoli
GNY,TR,Sanliurfa
GOI,IN,Tura
GOP,IN,Gorakhpur
GOQ,CN,Golmud
GOX,IN,Goa
GWD,PK,Gwadar
GWL,IN,Gwalior
GXF,YE,Sayun
GXH,CN,Xiahe
GYD,AZ,Baku
GYS,CN,Guangyuan
GZP,TR,Gazipasa
GZT,TR,Gaziantep
HAC,JP,Hachijojima
HAK,CN,Haikou
HAN,VN,Hanoi
HAQ,MV,Insel Hanimaadhoo
HAS,SA,Hagel
HBX,IN,Hubli Flughafen,
HCJ,CN,Hechi
HCN,TW,Hengchun
HCZ,CN,Chenzhou
HDG,CN,Handan
HDM,IR,Hamadan
HDY,TH,Hat Yai
HEA,AF,Herat
HEK,CN,Heihe
HET,CN,Hohhot
HFA,IL,Haifa
HFE,CN,Hefei
HGH,CN,Hangzhou
HGN,TH,Mae Hong Son
HHQ,TH,Hua Hin
HIA,CN,Huai'an
HIJ,JP,Hiroshima
HIN,KR,Jinju
HJJ,CN,Huaihua
HJR,IN,Khajuraho
HKD,JP,Hakodate
HKG,HK,Hongkong Intl,
HKT,TH,Phuket
HLD,CN,Hailar
HLP,ID,Jakarta
HMA,RU,Chanty-Mansijsk
HMI,CN,Hami
HNA,JP,Hanamaki
HND,JP,Tokio
HOD,YE,Hodeidah
HOF,SA,Hof
HPG,CN,Shennongjia
HPH,VN,Haiphong
HRB,CN,Harbin
HRI,LK,Hambantota
HSA,KZ,Turkistan
HSG,JP,Saga
HTG,RU,Khatanga
HTN,CN,Hotan
HTT,CN,Huatugou
HTY,TR,Hatay
HUI,VN,Hue
HUN,TW,Hualien
HUO,CN,Huolinguole
HUZ,CN,Huizhou
HVD,MN,Khovd
HYD,IN,Hyderabad
HYN,CN,Taizhou
HZA,CN,Heze
HZH,CN,Liping
IAA,RU,Igarka
IBR,JP,Ibaraki
ICN,KR,Seoul
IDR,IN,Idre
IFN,IR,Isfahan
IGD,TR,Igdir
IGT,RU,Magas
IKA,IR,Teheran
IKI,JP,Iki
IKS,RU,Tiksi
IKU,KG,Tamchy
ILO,PH,Ilo
IMF,IN,Imphal
INC,CN,Yinchuan
IPH,MY,Ipoh
IQM,CN,Qiemo
IQN,CN,Qingyang
ISB,PK,Islamabad
ISE,TR,Isparta
ISG,JP,Ishigaki
ISK,IN,Nasik
ISU,IQ,Sulaymaniyah
ITM,JP,Osaka
IWJ,JP,Masuda
IWK,JP,Iwakuni
IXA,IN,Agartala
IXB,IN,Bagdogra
IXC,IN,Chandigarh
IXD,IN,Allahabad
IXE,IN,Mangalore
IXG,IN,Sambre,
IXI,IN,Lilabari
IXJ,IN,Jammu
IXL,IN,Leh
IXM,IN,Madurai
IXP,IN,Pathankot
IXR,IN,Ranchi
IXS,IN,Silchar
IXU,IN,Aurangabad
IXY,IN,Kandla
IXZ,IN,Port Blair
IZO,JP,Izumo
JAF,LK,Jaffna
JAI,IN,Jaipur
JDH,IN,Jodhpur
JDZ,CN,Jingdezhen
JED,SA,Jeddah
JGA,IN,Jamnagar
JGD,CN,Jiagedaqi
JGS,CN,Ji'an
JHB,MY,Johor Bahru
JHG,CN,Jinghong
JIQ,CN,Qianjiang
JJN,CN,Quanzhou
JKR,NP,Janakpur
JLR,IN,Jabalpur
JMJ,CN,Lancang
JMU,CN,Jiamusi
JNG,CN,Jining
JNZ,CN,Jinzhou
JOG,ID,Yogyakarta
JOL,PH,Jolo
JRH,IN,Jorhat
JSJ,CN,Jiansanjiang
JSR,BD,Jessore
JUZ,CN,Quzhou
JXA,CN,Jixi
JZH,CN,Jiuzhaigou
KAC,SY,Kamishly
KAW,MM,Kawthaung
KBL,AF,Kabul
KBR,MY,Kota Bharu
KBV,TH,Krabi
KCH,MY,Kuching
KCM,TR,Kahramanmaras
KCT,LK,Koggala
KCZ,JP,Kochi
KDH,AF,Kandahar
KDM,MV,Kaadedhdhoo Insel
KDO,MV,Kadhdhoo Insel
KDU,PK,Skardu
KEJ,RU,Kemerowo
KEP,NP,Nepalganj
KER,IR,Kerman
KET,MM,Kengtung
KGF,KZ,Karaganda
KGP,RU,Kogalym
KGT,CN,Kangding
KHD,IR,Khorramabad
KHG,CN,Kashi
KHH,TW,Kaohsiung
KHI,PK,Karachi
KHN,CN,Nanchang
KHS,OM,Khasab
KHV,RU,Chabarowsk
KIH,IR,Insel Kish
KIJ,JP,Niigata
KIX,JP,Osaka
KJB,IN,Kurnool
KJH,CN,Huang Ping
KJI,CN,Burqin
KKC,TH,Khon Kaen
KKJ,JP,Kitakyushu
KKS,IR,Kashan
KKX,JP,Kikai
KLH,IN,Kolhapur
KLO,PH,Kalibo
KMC,SA,King Khalid Mil. Stadt
KMG,CN,Kunming
KMI,JP,Miyazaki
KMJ,JP,Kumamoto
KMQ,JP,Komatsu
KNG,ID,Utarom
KNH,TW,Kinmen
KNO,ID,Medan
KNU,IN,Kanpur
KOJ,JP,Kagoshima
KOP,TH,Nakhon Phanom
KOV,KZ,Kokshetau
KPO,KR,Pohang
KPW,RU,Keperveyem
KQH,IN,Kishangarh
KQT,TJ,Qurghonteppa
KRL,CN,Korla
KRO,RU,Kurgan
KRW,TM,Turkmenbashi
KSH,IR,Kermanshah
KSN,KZ,Kostanay
KSY,TR,Kars
KTD,JP,Kitadaito
KTG,ID,Ketapang
KTM,NP,Kathmandu
KUA,MY,Kuantan
KUH,JP,Kushiro
KUL,MY,Kuala Lumpur
KUM,JP,Yakushima
KUT,GE,Kutaisi
KUV,KR,Gunsan
KVD,AZ,Qarayeri
KWE,CN,Guiyang
KWI,KW,Kuwait
KWJ,KR,Gwangju
KWL,CN,Guilin
KXB,ID,Kolaka
KXK,RU,Komsomolsk-na-Amure
KYA,TR,Konya
KYD,TW,Lanyu (Orchideeninsel)
KYP,MM,Kyaukpyu
KYZ,RU,Kyzyl
LAO,PH,Laoag
LBD,TJ,Khujand
LBU,MY,Labuan
LCA,CY,Larnaca
LCX,CN,Longyan
LDS,CN,Yichun (Heilongjiang)
LDU,MY,Lahad Datu
LFM,IR,Lamerd
LFQ,CN,Linfen
LGK,MY,Langkawi
LHE,PK,Lahore
LHW,CN,Lanzhou
LIW,MM,Loikaw
LJG,CN,Lijiang
LKO,IN,Lucknow
LLC,PH,Lal-lo
LLF,CN,Yongzhou
LLV,CN,Luliang
LMN,MY,Limbang
LNJ,CN,Lincang
LNL,CN,Longnan
LOE,TH,Loei
LOP,ID,Praya
LPF,CN,Liupanshui
LPQ,LA,Luang Prabang
LPT,TH,Lampang
LRR,IR,Lar
LSH,MM,Lashio
LTI,MN,Altai
LTK,SY,Latakia
LTU,IN,Latur
LUM,CN,Mangshi
LUV,ID,Langgur
LWN,AM,Gjumri
LXA,CN,Lhasa/Lasa
LYA,CN,Luoyang
LYG,CN,Lianyungang
LYP,PK,Faisalabad
LZH,CN,Liuzhou
LZN,TW,Matsu (Nangan)
LZO,CN,Luzhou
LZY,CN,Nyingchi/Linzhi
MAA,IN,Chennai
MAQ,TH,Mae Sot
MBE,JP,Monbetsu
MBT,PH,Masbate
MCT,OM,Muscat
MDC, "ID",Manado
MDG,CN,Mudanjiang
MDL,MM,Mandalay
MED,SA,Madinah
MEQ, "ID",Cut Nyak Dien
MFG,PK,Muzaffarabad
MFK,TW,Matsu (Beigan)
MFM,HK,Macau
MGZ,MM,Myeik
MHD,IR,Mashhad
MIG,CN,Mianyang
MJD,PK,Moenjodaro
MJZ,RU,Mirny
MKM,MY,Mukah
MKQ,ID,Merauke
MKW,ID,Rendani,
MLE,MV,Männlich
MLG,ID,Malang
MLX,TR,Malatya
MMB,JP,Memanbetsu
MMD,JP,Minamidaito
MMJ,JP,Matsumoto
MMY,JP,Miyakojima
MNL,PH,Manila
MOG,MM,Mong Hsat
MPH,PH,Caticlan
MQM,TR,Mardin
MRX,IR,Bandar Mahshahr
MSJ,JP,Misawa
MSR,TR,Mus
MUR,MY,Marudi
MUX,PK,Multan
MWX,KR,Muan
MXV,MN,Moron
MYE,JP,Miyakejima
MYJ,JP,Matsuyama
MYP,TM,Mary
MYT,MM,Myitkyina
MYY,MY,Miri
MZG,TW,Penghu
MZR,AF,Mazar-e Sharif
MZV,MY,Mulu
NAG,IN,Nagpur
NAH,ID,Tahuna
NAJ,AZ,Nakchivan
NAW,TH,Narathiwat
NBS,CN,Baishan
NBX,ID,Nabire
NCU,UZ,Nukus
NDC,IN,Nanded
NDG,CN,Qiqihar
NER,RU,Neryungri
NFG,RU,Neftejugansk
NGB,CN,Ningbo
NGO,JP,Nagoya
NGQ,CN,Shiquanhe
NGS,JP,Nagasaki
NJC,RU,Nishnewartowsk
NJF,IQ,Al Nadschaf
NKG,CN,Nanjing
NKM,JP,Nagoya
NKT,TR,Sirnak
NLH,CN,Ninglang
NLI,RU,Nikolajewsk-na-Amure
NLT,CN,Xinyuan
NMF,MV,Maafaru
NNG,CN,Nanning
NNM,RU,Naryan-Mar
NNT,TH,Nan
NOJ,RU,Nojabrsk
NOP,TR,Sinop
NPO,ID,Nangapinoh
NQZ,KZ,Astana
NRT,JP,Tokio
NSH,IR,Jetzt Shahr
NSK,RU,Norilsk
NST,TH,Nakhon Si Thammarat
NTG,CN,Nantong
NTQ,JP,Wajima
NTX,ID,Natuna
NUM,SA,Neom Bay
NUX,RU,Nowy Urengoi
NVI,UZ,Navoi
NYM,RU,Nadym
NYT,MM,Nay Pyi Taw
NZH,CN,Manzhouli
NZL,CN,Zhalantun
OBO,JP,Obihiro
OGN,JP,Yonaguni
OGU,TR,Ordu/Giresun
OHE,CN,Mohe
OHO,RU,Ochotsk
OIM,JP,Oshima
OIR,JP,Okushiri
OIT,JP,Oita
OKA,JP,Okinawa
OKD,JP,Sapporo
OKE,JP,Okierabu
OKI,JP,Oki
OKJ,JP,Okayama
OKL,ID,Oksibil
OMH,IR,Urumiyeh
OMS,RU,Omsk
ONJ,JP,Odate/Noshiro
ONQ,TR,Zonguldak
OSS,KG,Osh Flughafen,
OSW,RU,Orsk
OVS,RU,Sovetsky
OZC,PH,Ozamiz
PAB,IN,Bilaspur
PAG,PH,Pagadian
PAT,IN,Patna
PBD,IN,Porbandar
PBH,BT,Paro
PBU,MM,Putao
PDG,ID,Padang
PDO,ID,Pendopo
PEK,CN,Peking
PEN,MY,Penang
PEW,PK,Peshawar
PEX,RU,Petschora
PFO,CY,Paphos
PGH,IN,Pantnagar
PGU,IR,Asaloyeh
PHS,TH,Phitsanulok
PHY,TH,Phetchabun
PIF,TW,Pingtung Süd,
PJG,PK,Panjgur
PKC,RU,Petropavlovsk
PKR,NP,Pokhara
PKU,ID,Pekanbaru
PKX,CN,Peking
PKY,ID,Tjilik Riwut,
PKZ,LA,Pakse
PLM,ID,Palembang
PLW,ID,Mutiara,
PLX,KZ,Semey
PNH,KH,Phnom Penh
PNK,ID,Pontianak
PNQ,IN,Pune
PNY,IN,Pondicherry
PPK,KZ,Petropavlovsk
PPS,PH,Puerto Princesa
PQC,VN,Phu Quoc Insel
PSI,PK,Pasni
PSU,ID,Putussibau
PUS,KR,Busan
PVG,CN,Shanghai
PWQ,KZ,Pawlodar
PXR,TH,Surin
PXU,VN,Pleiku
PYJ,RU,Polyarny
PYK,IR,Karadsch
PZH,PK,Zhob
PZI,CN,Panzhihua
QSZ,CN,Shache
RAE,SA,Arar
RAH,SA,Rafha
RAJ,IN,Rajkot
RAS,IR,Rasht
RAZ,PK,Rawala Kot
RDP,IN,Durgapur
REP,KH,Siem Reap
RGN,MM,Yangon
RGO,KP,Chongjin
RIS,JP,Rishiri
RIY,YE,Mukalla
RIZ,PA,Rizhao
RJA,IN,Rajahmundry
RJH,BD,Rajshahi
RJN,IR,Rafsanjan
RKT,AE,Ras al Khaimah
RKZ,CN,Xigaze/Rikaze
RLK,CN,Bayannur
RML,LK,Colombo
RMQ,TW,Taichung
RNJ,JP,Yoron
ROI,TH,Roi Et
RQA,CN,Ruoqiang
RSU,KR,Yeosu/Suncheon
RUH,SA,Riyadh
RXS,PH,Roxas
RYK,PK,Rahim Yar Khan
RZR,IR,Ramsar
RZV,TR,Rize
SAG,IN,Shirdi
SAH,YE,Sana'a
SAW,TR,Istanbul
SBT,RU,Sabetta
SBW,MY,Sibu
SCO,KZ,Aktau
SCT,YE,Sokotra
SDG,IR,Sanandaj
SDJ,JP,Sendai
SDK,MY,Sandakan
SDS,JP,Sado
SDT,PK,Saidu Sharif
SDW,IN,Malvan
SFE,PH,San Fernando
SFS,PH,Subic Bay
SGC,RU,Surgut
SGN,VN,Ho Chi Minh Stadt
SHA,CN,Shanghai
SHB,JP,Nakashibetsu
SHE,CN,Shenyang
SHJ,AE,Sharjah
SHL,IN,Shillong
SHM,JP,Shirahama
SHS,CN,Jingzhou
SHW,SA,Sharurah
SIN,SG,Singapur
SJI,PH,San Jose
SJW,CN,Shijiazhuang
SKD,UZ,Samarkand
SKT,PK,Sialkot
SKZ,PK,Sukkur
SLL,OM,Salalah
SLY,RU,Salechard
SNO,TH,Sakon Nakhon
SNW,MM,Thandwe
SOC,ID,Surakarta (Solo)
SOQ,ID,Sorong
SPD,BD,Saidpur
SQD,CN,Shangrao
SQG,ID,Sintang
SQJ,CN,Sanming
SRG,ID,Semarang
SRY,IR,Sari
STV,IN,Surat
SUB,ID,Surabaya
SUG,PH,Surigao
SUI,GE,Sui
SVX,RU,Jekaterinburg
SWA,CN,Shantou
SXR,IN,Srinagar
SYO,JP,Shonai
SYW,PK,Sehwan
SYX,CN,Sanya
SYZ,IR,Shiraz
SZB,MY,Kuala Lumpur
SZF,TR,Samsun
SZX,CN,Shenzhen
TAC,PH,Tacloban
TAE,KR,Daegu
TAG,PH,Panglao
TAI,YE,Taizz
TAK,JP,Takamatsu
TAO,CN,Qingdao
TAS,UZ,Taschkent
TAZ,TM,Dashoguz
TBB,VN,Tuy Hoa
TBH,PH,Insel Tablas
TBS,GE,Tiflis
TBZ,IR,Täbris
TCP,EG,Taba
TCZ,CN,Tengchong
TDG,PH,Tandag
TDX,TH,Trat
TEN,CN,Tongren
TEZ,IN,Tezpur
TFU,CN,Chengdu
TGG,MY,Kuala Terengganu
TGO,CN,Tongliao
THL,MM,Tachilek
THQ,CN,Tianshui
THR,IR,Teheran
THS,TH,Sukhothai
TIF,SA,Taif
TIM,ID,Moses Kilangin,
TJG,ID,Tanjung Warukin
TJK,TR,Tokat
TJM,RU,Tjumen
TJU,TJ,Kulob
TKG,ID,Bandar Lampung
TKN,JP,Tokunoshima
TKS,JP,Tokushima
TLQ,CN,Turpan
TLV,IL,Tel Aviv-Yafo
TMH,ID,Tanahmerah
TMJ,UZ,Termez
TNA,CN,Jinan
TNE,JP,Tanegashima
TNH,CN,Tonghua
TNN,TW,Tainan
TOD,MY,Tioman Insel
TOF,RU,Tomsk
TOY,JP,Toyama
TPE,TW,Taipeh
TPJ,NP,Taplejung
TRA,JP,Tarama
TRK,ID,Juwata,
TRR,LK,Trincomalee
TRV,IN,Thiruvananthapuram
TRZ,IN,Tiruchchirappalli
TSA,TW,Taipeh
TSJ,JP,Tsushima
TSN,CN,Tianjin
TST,TH,Trang
TTE,ID,Ternate
TTJ,JP,Tottori
TTT,TW,Taitung
TUG,PH,Tuguegarao
TUI,SA,Turaif
TUK,PK,Turbat
TUU,SA,Tabuk
TVY,MM,Dawei
TWT,PH,Tawi Tawi Insel
TWU,MY,Tawau
TXE,ID,Takengon
TXN,CN,Huangshan
TYN,CN,Taiyuan
TZX,TR,Trabzon
UBJ,JP,Ube
UBN,MN,Ulaanbaatar
UBP,TH,Ubon Ratchathani
UCB,MN,Ulanqab
UCT,RU,Ukhta
UDR,IN,Udaipur
UEO,JP,Kumejima
UET,PK,Quetta
UGA,MN,Bulgan
UGC,UZ,Urgench
UGU,ID,Bilogai
UIH,VN,Qui Nhon
UKB,JP,Osaka
UKK,KZ,Ust-Kamenogorsk
UKX,RU,Ust-Kut
ULH,SA,AlUla
ULK,RU,Lensk
UNN,TH,Ranong
UPG,ID,Makassar
URA,KZ,Uralsk
URC,CN,Urumqi
URJ,RU,Uray
URT,TH,Surat Thani
URY,SA,Gurayat
USK,RU,Usinsk
USM,TH,Ko Samui
USN,KR,Ulsan
USU,PH,Busuanga
UTH,TH,Udon Thani
UTP,TH,U-Tapao
UUA,RU,Bugulma
VAM,MV,Maamigili-Insel
VAN,TR,Van
VCA,VN,Can Tho
VCS,VN,Insel Con Dao
VDH,VN,Dong Hoi
VDO,VN,Quang Ninh
VGA,IN,Vijayawada
VII,VN,Vinh
VII,VN,Paris
VKG,VN,Rach Gia
VKT,RU,Vorkuta
VNS,IN,Varanasi
VRC,PH,Virac
VTE,LA,Vientiane
VTZ,IN,Visakhapatnam Flughafen,
VYI,RU,Wilyuysk
WAE,SA,Wadi al Dawaser
WDS,CN,Shiyan
WEF,CN,Weifang
WEH,CN,Weihai
WGN,CN,Shaoyang
WHA,CN,Wuhu
WJU,KR,Wonju
WKJ,JP,Wakkanai
WMT,CN,Zunyi
WMX,ID,Wamena
WNI,ID,Wangiwangi-Insel
WNP,PH,Naga
WNS,PK,Nawabshah
WNZ,CN,Wenzhou
WOS,KP,Wonsan
WUH,CN,Wuhan
WUS,CN,Wuyishan
WUX,CN,Wuxi
WUZ,CN,Wuzhou
XAI,CN,Xinyang
XBJ,IR,Birjand
XCH,CX,Weihnachtsinsel
XFN,CN,Xiangyang
XIC,CN,Xichang
XIL,CN,Xilinhot
XIY,CN,Xi'an
XMN,CN,Xiamen
XNN,CN,Xining
XSP,SG,Singapur
XUZ,CN,Xuzhou
YBP,CN,Yibin
YEI,TR,Bursa
YGJ,JP,Yonago
YIA,ID,Yogyakarta
YIC,CN,Yichun (Jiangxi)
YIE,CN,Aershan
YIH,CN,Yichang
YIW,CN,Yiwu
YKH,CN,Yingkou
YKO,TR,Hakkari
YKS,RU,Jakutsk
YNB,SA,Yanbu al Bahr
YNJ,CN,Yanji
YNT,CN,Yantai
YNY,KR,Yangyang
YNZ,CN,Yancheng
YSQ,CN,Songyuan
YTY,CN,Yangzhou
YUS,CN,Yushu
YYA,CN,Yueyang
ZAH,IR,Zahedan
ZAM,PH,Zamboanga
ZBR,IR,Chah Bahar
ZHA,CN,Zhanjiang
ZHY,CN,Zhongwei
ZIX,RU,Zhigansk
ZKP,RU,Zyryanka
ZQZ,CN,Zhangjiakou
ZUH,CN,Zhuhai
ZYI,CN,Zunyi
ZYL,BD,Sylhet
AAE,DZ,Annaba
AAM,ZA,Mala Mala
ABJ,CI,Abidjan
ABK,ET,Kebri Dehar
ABS,EG,Abu Simbel
ABV,NG,Abuja
ACC,GH,Accra
ACE,ES,Lanzarote
ADD,ET,Addis Abeba
AEH,TD,Abeche
AGA,MA,Agadir
AHU,MA,Al Hoceima
AJN,KM,Anjouan
AJY,NE,Agadez
AKF,LY,Kufra
AKR,NG,Akure
ALG,DZ,Algier
AMH,ET,Arba Minch
ANM,IR,Antalaha
APL,MZ,Nampula
ARK,TZ,Arusha
ASA,ER,Assab
ASI,SH,Ascension Insel
ASM,ER,Asmara
ASO,ET,Asosa
ASV,KE,Amboseli
ASW,EG,Assuan
ATZ,EG,Asyut
AWA,ET,Awasa
AXU,ET,Axum
AZR,DZ,Adrar
BBK,BW,Kasane
BBO,SO,Berbera
BCU,NG,Bauchi
BDT,CD,Gbadolith
BEN,LY,Benghazi
BEW,MZ,Beira
BFN,ZA,Bloemfontein
BGF,CF,Bangui
BJA,DZ,Bejaia
BJL,GM,Banjul
BJM,BI,Bujumbura
BJR,ET,Bahar Dar
BKO,ML,Bamako
BLJ,DZ,Batna
BLZ,MW,Blantyre
BNI,NG,Benin City
BOY,BF,Bobo Dioulasso
BPY,MG,Besalampy
BSG,GQ,Bata
BSK,DZ,Biskra
BUQ,ZW,Internationaler Flughafen Joshua Mqabuko Nkomo,
BUX,CD,Bunia
BVC,CV,Boa Vista Insel
BYK,CI,Bouake
BZV,CG,Brazzaville
CAB,AO,Cabinda
CAI,EG,Cayenne
CBH,DZ,Bechar
CBQ,NG,Calabar
CBT,AO,Catumbela
CFK,DZ,Chlef
CKY,GN,Conakry
CMN,MA,Casablanca
COO,BJ,Cotonou
CPT,ZA,Kapstadt
CSK,SN,Kappe Skiring
CZL,DZ,Konstantin
DAR,TZ,Dar es Salaam
DBB,EG,Dabah
DIE,IR,Antsiranana
DIR,ET,Dire Dawa
DIS,CG,Dolisie
DJE,TN,Djerba
DJG,DZ,Djanet
DLA,CM,Douala
DOD,TZ,Dodoma
DOG,SD,Dongola
DSS,SN,Dakar
DUE,AO,Dundo
DUR,ZA,Durban
DZA,YT,Dzaoudzi
EBB,UG,Entebbe
EBD,SD,El Obeid
EDL,KE,Eldoret
ELF,SD,El Fasher
ELG,DZ,El Golea
ELS,ZA,Ost-London
ELU,DZ,El Oued
ENU,NG,Enugu
ERH,MA,Errachidien
ERS,NA,Windhoek
ESU,MA,Essaouira
EUN,MA,Laayoune
FBM,CD,Lubumbashi
FDU,CD,Bandundu
FEZ,MA,Fes
FIH,CD,Kinshasa
FKI,CD,Kisangani
FMI,CD,Kalemie
FNA,SL,Freetown
FRW,BW,Francistown
FTU,MG,Tolanaro
FUE,ES,Fuerteventura
GAE,TN,Gabes
GAF,TN,Gafsa
GAQ,ML,Gao
GBE,BW,Gaborone
GDE,ET,Gode
GDQ,ET,Gonder
GHA,DZ,Ghardaia
GHT,LY,Ghat
GJL,DZ,Jijel
GMA,CD,Gemena
GMB,ET,Gambela
GMO,NG,Gombe
GOM,CD,Goma
GOU,CM,Garoua
GRJ,ZA,George
GXG,AO,Negage
HAH,KM,Moroni
HBE,EG,Alexandria
HGA,SO,Hargeisa
HLA,ZA,Johannesburg
HMB,EG,Sohag
HME,DZ,Hassi Messaoud
HRE,ZW,R.G. Mugabe Intl,
HRG,EG,Hurghada
HRM,DZ,Hassi R'mel
HVA,MG,Analalava
IAM,DZ,In Amenas
IBA,NG,Ibadan
ILR,NG,Ilorin
INH,MZ,Inhambane
INZ,DZ,In Salah
IRP,CD,Isiro
JIB,DJ,Dschibuti
JIJ,ET,Jijiga
JIM,ET,Jimma
JNB,ZA,Johannesburg
JOS,NG,Jos
JRO,TZ,Kilimandscharo
JUB,SS,Juba
JWA,BW,Jwaneng
KAD,NG,Kaduna
KAN,NG,Kano
KBS,SL,Bo
KEN,SL,Kenema
KGA,CD,Kananga
KGL,RW,Kigali
KIM,ZA,Kimberley
KIS,KE,Kisumu
KKW,CD,Kikwit
KME,RW,Cyangugu
KMS,GH,Kumasi
KND,CD,Kindu
KOU,GA,Koulamoutou
KRT,SD,Khartoum
KSL,SD,Kassala
KWZ,CD,Kolwezi
KYS,ML,Kayes
LAD,AO,Luanda
LAQ,LY,Beida
LAU,KE,Lamu
LBV,GA,Libreville
LFW,TG,Lome
LKG,KE,Lokichogio
LLW,MW,Lilongwe
LOS,NG,Lagos
LPA,ES,Gran Canaria
LTD,LY,Ghadames
LUD,NA,Luderitz
LUN,ZM,Lusaka
LVI,ZM,Livingstone
LXR,EG,Luxor
MAK,SS,Malakal
MAX,SN,Matam
MBA,KE,Mombasa
MBD,ZA,Mmabatho/Mafikeng
MBI,TZ,Mbeya
MDI,NG,Makurdi
MDK,CD,Mbandaka
MEG,AO,Malanje
MFU,ZM,Mfuwe
MGH,ZA,Margate
MGQ,SO,Mogadischu
MIR,TN,Monastir
MIU,NG,Maiduguri
MJI,LY,Tripolis
MJL,GA,Mouila
MJM,CD,Mbuji-Mayi
MJN,MG,Mahajanga
MKU,GA,Makokou
MLN,ES,Melilla
MLW,LR,Monrovia
MMO,CV,Insel Maio
MNJ,MG,Mananjary
MOQ,MG,Morondava
MPM,MZ,Maputo
MQP,ZA,Nelspruit
MQQ,TD,Moundou
MQX,ET,Mekele
MRU,MU,Mauritius
MSU,LS,Maseru
MSW,ER,Massawa
MSZ,AO,Namibe
MUB,BW,Maun
MUH,EG,Mersa Matruh
MVB,GA,Franceville
MVR,CM,Maroua
MWZ,TZ,Mwanza
MXM,MG,Morombe
MYD,KE,Malindi
MYW,TZ,Mtwara
MZI,ML,Mopti
NBE,TN,Enfidha
NBO,KE,Nairobi
NDB,MR,Nouadhibou
NDJ,TD,N'Djamena
NDR,MA,Nador
NDU,,Rundu
NGE,CM,Ngaoundere
NIM,NE,Niamey
NKC,MR,Nouakchott
NLA,ZM,Simon M. Kapwepwe Intl,
NOS,IR,Nosy-Be
NOV,AO,Huambo
NSI,CM,Yaounde
NWA,KM,Moheli
NYI,GH,Sunyani
NYK,KE,Nanyuki
OGX,DZ,Ouargla
OMD,NA,Oranjemund
OND,NA,Ondangwa
ORN,DZ,Oran
OUA,BF,Ouagadougou
OUD,MA,Oujda
OXB,GW,Bissau
OYE,GA,Oyem
OZG,MA,Zagora
OZZ,MA,Ouarzazate
PBZ,ZA,Plettenberg Bay
PCP,ST,Principe Insel
PHC,NG,Port Harcourt
PHW,ZA,Phalaborwa
PKW,BW,Selebi-Phikwe
PLZ,ZA,Port Elizabeth
PNR,CG,Pointe-Noire
POG,GA,Port-Gentil
POL,MZ,Pemba
PRI,SC,Insel Praslin
PTG,ZA,Polokwane
PZB,ZA,Pietermaritzburg
PZU,SD,Hafen Sudan
QOW,NG,Owerri
QRW,NG,Warri
QSF,DZ,Setif
QUO,NG,Uyo
RAI,CV,Praia
RAK,MA,Marrakech
RBA,MA,Rabat
RCB,ZA,Richards Bay
RMF,EG,Marsa Alam
ROB,LR,Monrovia
RRG,MU,Insel Rodrigues
RUA,UG,Arua
RUN,RE,St-Denis
SDD,AO,Lubango
SEB,LY,Sebha
SEZ,SC,Insel Mahe
SFA,TN,Sfax
SHO,SZ,Manzini
SID,CV,Insel Sal
SKO,NG,Sokoto
SMS,MG,Sainte-Marie
SMW,MA,Semara
SNE,CV,Insel Sao Nicolau
SPC,ES,Santa Cruz de la Palma
SPP,AO,Menongue
SPX,US,Giza
SRT,UG,Soroti
SRX,LY,Sirte
SSG,GQ,Malabo
SSH,EG,Sharm el-Sheikh
SSY,AO,M'banza Kongo
SVB,IR,Sambava
SZA,AO,Soyo
TBJ,TN,Tabarka
TEE,DZ,Tebessa
TET,MZ,Tete
TFN,ES,Teneriffa
TFS,ES,Teneriffa
TGR,DZ,Touggourt
TGT,TZ,Tanga
